source,target,spearman,pval,weight
AXP,FIS,0.8993588871511499,3.003356706537046e-129,2.458026733371336
AXP,MA,0.93376632202102,4.799340275811795e-160,2.544072954171791
AZO,AZO,1.0,0.0,2.718281828459045
BA,BA,1.0,0.0,2.718281828459045
BA,BMY,0.8993246320666131,3.1797772980494976e-129,2.4579425348999115
BAC,BAC,1.0,0.0,2.718281828459045
BAC,JPM,0.9379875218438268,6.091011565823299e-165,2.5548346922186607
BAC,PNC,0.9038298092585564,1.455842048951546e-132,2.4690409830131594
BAX,BAX,1.0,0.0,2.718281828459045
BBWI,BBWI,1.0,0.0,2.718281828459045
BBY,A,0.9107228550114288,5.254356162120496e-138,2.4861189875878176
BBY,BBY,1.0,0.0,2.718281828459045
BDX,BDX,1.0,0.0,2.718281828459045
BEN,BEN,1.0,0.0,2.718281828459045
BEN,CERN,0.9209628688183796,5.776250483997796e-147,2.511707670984542
BEN,IPGP,0.8995736780952913,2.098760041487365e-129,2.4585547519588973
BIIB,AMGN,0.8947810774486832,5.172173360231819e-126,2.446800071109907
BIIB,BIIB,1.0,0.0,2.718281828459045
BIIB,CCL,0.905071509353108,1.6355760960296659e-133,2.4721086956305873
BIIB,NCLH,0.9078613065620026,1.0761648573085846e-135,2.4790150066941066
BIIB,RCL,0.9255491174817284,2.226671869608162e-151,2.5232534425856086
BIO,BIO,1.0,0.0,2.718281828459045
BK,BK,1.0,0.0,2.718281828459045
BKNG,ALK,0.912070924205039,4.022707405911567e-139,2.4894727080223444
BKNG,BKNG,1.0,0.0,2.718281828459045
BKNG,CCL,0.9604608446473616,1.163573409144886e-198,2.612900337139197
BKNG,COO,0.8990825383060818,4.7570920448101587e-129,2.4573475543719105
BKNG,DIS,0.9154693836583336,5.122121016629384e-142,2.4979474724957367
BKNG,DXC,0.9217652889897838,1.0208577875524897e-147,2.5137239247175582
BKNG,LUV,0.8912163774262353,1.354476950611286e-123,2.438093490235619
BKNG,NCLH,0.9559088523860724,1.8429046752448982e-190,2.601033464472045
BKNG,RCL,0.9524144014919383,9.830944046966255e-185,2.591960143127391
BKNG,SYK,0.8944612254138723,8.593514743841593e-126,2.446017582275381
BKNG,SYY,0.9447554178302844,1.4656982068906574e-173,2.5721841912570556
BKNG,TTWO,0.901226767708326,1.2947025208221001e-130,2.4626223243870133
BKR,BKR,1.0,0.0,2.718281828459045
BLK,BLK,1.0,0.0,2.718281828459045
BLK,KHC,0.890243483223837,5.985655478863838e-123,2.435722636695901
BLL,BLL,1.0,0.0,2.718281828459045
BMY,BMY,1.0,0.0,2.718281828459045
BMY,HON,0.9078030388350374,1.1971688931993467e-135,2.478870564332759
BMY,UAL,0.8904680469157976,4.253006078456311e-123,2.436269672983735
